trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
27589,06:54:00,06:54:00,4697,1,0,0,0.0000
27589,06:57:00,06:57:00,4664,2,0,0,1.3634
27589,07:00:00,07:00:00,13107,3,0,0,2.7739
27589,07:03:00,07:03:00,1305,4,0,0,3.8714
27589,07:06:00,07:06:00,4613,5,0,0,5.1831
27589,07:09:00,07:09:00,5110,6,0,0,7.3269
27589,07:10:00,07:10:00,6553,7,0,0,7.8900
27589,07:12:00,07:12:00,6479,8,0,0,8.4566
27589,07:14:00,07:14:00,12900,9,0,0,9.0525
27589,07:16:00,07:16:00,7333,10,0,0,9.5729
27589,07:18:00,07:18:00,5017,11,0,0,9.8991
27589,07:20:00,07:20:00,12906,12,0,0,10.3008
27589,07:22:00,07:22:00,7671,13,0,0,10.7294
27589,07:23:00,07:23:00,7588,14,0,0,11.0430
27589,07:24:00,07:24:00,7812,15,0,0,11.3508
27589,07:25:00,07:25:00,7932,16,0,0,11.7555
27589,07:27:00,07:27:00,8040,17,0,0,12.3239
27589,07:30:00,07:30:00,11332,18,0,0,13.5534
27589,07:32:00,07:32:00,12926,19,0,0,14.4566
27589,07:35:00,07:35:00,12928,20,0,0,15.6144
27589,07:36:00,07:36:00,12930,21,0,0,16.1466
27589,07:38:00,07:38:00,9720,22,0,0,16.7415
27589,07:40:00,07:40:00,9838,23,0,0,17.2415
27589,07:45:00,07:45:00,13986,24,0,0,19.9811
27589,07:47:00,07:47:00,13995,25,0,0,20.6330
27589,07:52:00,07:52:00,10352,26,0,0,24.3415
27589,07:58:00,07:58:00,14816,27,0,0,27.4453
27590,07:11:00,07:11:00,4697,1,0,0,0.0000
27590,07:14:00,07:14:00,4664,2,0,0,1.3634
27590,07:17:00,07:17:00,13107,3,0,0,2.7739
27590,07:20:00,07:20:00,1305,4,0,0,3.8714
27590,07:23:00,07:23:00,4613,5,0,0,5.1831
27590,07:26:00,07:26:00,5110,6,0,0,7.3269
27590,07:27:00,07:27:00,6553,7,0,0,7.8900
27590,07:29:00,07:29:00,6479,8,0,0,8.4566
27590,07:31:00,07:31:00,12900,9,0,0,9.0525
