stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
308,4000104,"SHAW METRO STATION",,38.914546,-77.021927,69
999,,"CHEVERLY METRO STATION",,38.916552,-76.915104,5
1305,,"CAPITOL HEIGHTS METRO STATION",,38.889571,-76.913313,5
1418,1104,"U STREET METRO STATION",,38.917015,-77.029169,70
2124,1763,"LANDOVER METRO STATION",,38.933994,-76.890005,5
2640,,"MEDICAL CENTER METRO/NAVAL MED CTR & NIH",,39.000062,-77.096948,4
2658,,"NEW CARROLLTON METRO STATION",,38.946912,-76.870445,8
3034,103,"PRINCE GEORGES PLAZA METRO STATION",,38.965252,-76.955988,5
3542,,"GROSVENOR METRO STATION",,39.029243,-77.103838,7
3969,,"TWINBROOK METRO STATION",,39.062389,-77.120792,7
4271,,"WHEATON METRO STATION",,39.038565,-77.050776,7
4364,1766,"FRIENDSHIP HEIGHTS METRO STATION",,38.960997,-77.085767,4
4387,,"BETHESDA METRO STATION",,38.984431,-77.094151,4
4567,1000016,"NOMA-GALLAUDET U (NEW YORK AVE) METRO STATION",,38.907413,-77.002981,84
4613,,"BENNING RD METRO STATION",,38.890418,-76.937662,10
4655,,"CONGRESS HEIGHTS METRO STATION",,38.845379,-76.987860,79
4664,,"MORGAN BOULEVARD METRO STATION",,38.893586,-76.868498,85
4697,,"LARGO TOWN CENTER METRO STATION",,38.900269,-76.844540,86
4710,,"BROOKLAND-CUA METRO",,38.933232,-76.994474,10
4905,,"WOODLEY PARK-ZOO METRO STATION",,38.925000,-77.052350,10
4912,,"CLEVELAND PARK METRO STATION",,38.935852,-77.058624,10
4941,,"VAN NESS-UDC METRO STATION",,38.944519,-77.063716,10
4956,,"DUPONT CIRCLE METRO STATION",,38.911129,-77.044428,10
5017,,"L'ENFANT PLAZA METRO STATION",,38.884886,-77.021600,10
5030,,"DEANWOOD METRO STATION",,38.907945,-76.935569,10
5110,,"STADIUM ARMORY METRO STATION",,38.885982,-76.977168,10
5305,,"FORT TOTTEN METRO STATION",,38.951808,-77.001864,10
5542,,"HOWARD RD & SHANNON PL-ANACOSTIA METRO",,38.862388,-76.995054,10
5635,,"FARRAGUT NORTH METRO STATION",,38.903297,-77.039502,10
5660,,"TENLEYTOWN METRO STATION",,38.947849,-77.079299,53
5759,,"NAVY YARD METRO STATION",,38.876517,-77.004749,10
6479,,"EASTERN MARKET METRO STATION",,38.884148,-76.995010,10
6553,4000160,"POTOMAC AVE METRO",,38.880874,-76.985397,10
6671,,"RHODE ISLAND METRO STATION",,38.920778,-76.995682,10
6751,,"ANACOSTIA METRO STATION",,38.862117,-76.995325,10
6963,,"TAKOMA METRO STATION",,38.975432,-77.017421,10
7333,,"FEDERAL CENTER METRO STATION",,38.884981,-77.015536,10
7376,,"WATERFRONT METRO STATION",,38.876478,-77.017189,10
7474,,"GALLERY PLACE CHINATOWN METRO STATION",,38.898354,-77.021527,10
7477,,"ARCHIVES METRO STATION",,38.893907,-77.021592,10
7588,,"METRO CENTER METRO STATION",,38.898327,-77.027777,10
7671,,"FEDERAL TRIANGLE METRO STATION",,38.893789,-77.027896,10
7681,,"SOUTHERN AVE METRO STATION",,38.841047,-76.975003,80
7686,,"NAYLOR ROAD METRO STATION",,38.851164,-76.956314,81
7812,4000157,"MCPHERSON SQ METRO STATION",,38.901335,-77.031958,10
7932,,"FARRAGUT WEST METRO STATION",,38.901366,-77.039482,10
7993,,"ROCKVILLE METRO STATION",,39.085452,-77.146689,7
8040,,"FOGGY BOTTOM METRO STATION",,38.900705,-77.050026,10
